file_path,width,height,label
ba\ba116.pred3.b_aug_0.png,224,224,ba
ba\ba116.pred3.b_aug_1.png,224,224,ba
ba\ba116.pred3.b_aug_10.png,224,224,ba
ba\ba116.pred3.b_aug_100.png,224,224,ba
ba\ba116.pred3.b_aug_101.png,224,224,ba
ba\ba116.pred3.b_aug_102.png,224,224,ba
ba\ba116.pred3.b_aug_103.png,224,224,ba
ba\ba116.pred3.b_aug_104.png,224,224,ba
ba\ba116.pred3.b_aug_105.png,224,224,ba
ba\ba116.pred3.b_aug_106.png,224,224,ba
ba\ba116.pred3.b_aug_107.png,224,224,ba
ba\ba116.pred3.b_aug_108.png,224,224,ba
ba\ba116.pred3.b_aug_109.png,224,224,ba
ba\ba116.pred3.b_aug_11.png,224,224,ba
ba\ba116.pred3.b_aug_110.png,224,224,ba
ba\ba116.pred3.b_aug_111.png,224,224,ba
ba\ba116.pred3.b_aug_112.png,224,224,ba
ba\ba116.pred3.b_aug_113.png,224,224,ba
ba\ba116.pred3.b_aug_114.png,224,224,ba
ba\ba116.pred3.b_aug_115.png,224,224,ba
ba\ba116.pred3.b_aug_116.png,224,224,ba
ba\ba116.pred3.b_aug_117.png,224,224,ba
ba\ba116.pred3.b_aug_118.png,224,224,ba
ba\ba116.pred3.b_aug_119.png,224,224,ba
ba\ba116.pred3.b_aug_12.png,224,224,ba
ba\ba116.pred3.b_aug_120.png,224,224,ba
ba\ba116.pred3.b_aug_121.png,224,224,ba
ba\ba116.pred3.b_aug_122.png,224,224,ba
ba\ba116.pred3.b_aug_123.png,224,224,ba
ba\ba116.pred3.b_aug_124.png,224,224,ba
ba\ba116.pred3.b_aug_125.png,224,224,ba
ba\ba116.pred3.b_aug_126.png,224,224,ba
ba\ba116.pred3.b_aug_127.png,224,224,ba
ba\ba116.pred3.b_aug_128.png,224,224,ba
ba\ba116.pred3.b_aug_129.png,224,224,ba
ba\ba116.pred3.b_aug_13.png,224,224,ba
ba\ba116.pred3.b_aug_130.png,224,224,ba
ba\ba116.pred3.b_aug_131.png,224,224,ba
ba\ba116.pred3.b_aug_132.png,224,224,ba
ba\ba116.pred3.b_aug_133.png,224,224,ba
ba\ba116.pred3.b_aug_134.png,224,224,ba
ba\ba116.pred3.b_aug_135.png,224,224,ba
ba\ba116.pred3.b_aug_136.png,224,224,ba
ba\ba116.pred3.b_aug_137.png,224,224,ba
ba\ba116.pred3.b_aug_138.png,224,224,ba
ba\ba116.pred3.b_aug_139.png,224,224,ba
ba\ba116.pred3.b_aug_14.png,224,224,ba
ba\ba116.pred3.b_aug_140.png,224,224,ba
ba\ba116.pred3.b_aug_141.png,224,224,ba
ba\ba116.pred3.b_aug_142.png,224,224,ba
ba\ba116.pred3.b_aug_143.png,224,224,ba
ba\ba116.pred3.b_aug_144.png,224,224,ba
ba\ba116.pred3.b_aug_145.png,224,224,ba
ba\ba116.pred3.b_aug_146.png,224,224,ba
ba\ba116.pred3.b_aug_147.png,224,224,ba
ba\ba116.pred3.b_aug_148.png,224,224,ba
ba\ba116.pred3.b_aug_149.png,224,224,ba
ba\ba116.pred3.b_aug_15.png,224,224,ba
ba\ba116.pred3.b_aug_150.png,224,224,ba
ba\ba116.pred3.b_aug_151.png,224,224,ba
ba\ba116.pred3.b_aug_152.png,224,224,ba
ba\ba116.pred3.b_aug_153.png,224,224,ba
ba\ba116.pred3.b_aug_154.png,224,224,ba
ba\ba116.pred3.b_aug_155.png,224,224,ba
ba\ba116.pred3.b_aug_156.png,224,224,ba
ba\ba116.pred3.b_aug_157.png,224,224,ba
ba\ba116.pred3.b_aug_158.png,224,224,ba
ba\ba116.pred3.b_aug_159.png,224,224,ba
ba\ba116.pred3.b_aug_16.png,224,224,ba
ba\ba116.pred3.b_aug_160.png,224,224,ba
ba\ba116.pred3.b_aug_161.png,224,224,ba
ba\ba116.pred3.b_aug_162.png,224,224,ba
ba\ba116.pred3.b_aug_163.png,224,224,ba
ba\ba116.pred3.b_aug_164.png,224,224,ba
ba\ba116.pred3.b_aug_165.png,224,224,ba
ba\ba116.pred3.b_aug_166.png,224,224,ba
ba\ba116.pred3.b_aug_167.png,224,224,ba
ba\ba116.pred3.b_aug_168.png,224,224,ba
ba\ba116.pred3.b_aug_169.png,224,224,ba
ba\ba116.pred3.b_aug_17.png,224,224,ba
ba\ba116.pred3.b_aug_170.png,224,224,ba
ba\ba116.pred3.b_aug_171.png,224,224,ba
ba\ba116.pred3.b_aug_172.png,224,224,ba
ba\ba116.pred3.b_aug_173.png,224,224,ba
ba\ba116.pred3.b_aug_174.png,224,224,ba
ba\ba116.pred3.b_aug_175.png,224,224,ba
ba\ba116.pred3.b_aug_176.png,224,224,ba
ba\ba116.pred3.b_aug_177.png,224,224,ba
ba\ba116.pred3.b_aug_178.png,224,224,ba
ba\ba116.pred3.b_aug_179.png,224,224,ba
ba\ba116.pred3.b_aug_18.png,224,224,ba
ba\ba116.pred3.b_aug_180.png,224,224,ba
ba\ba116.pred3.b_aug_181.png,224,224,ba
ba\ba116.pred3.b_aug_182.png,224,224,ba
ba\ba116.pred3.b_aug_183.png,224,224,ba
ba\ba116.pred3.b_aug_184.png,224,224,ba
ba\ba116.pred3.b_aug_185.png,224,224,ba
ba\ba116.pred3.b_aug_186.png,224,224,ba
ba\ba116.pred3.b_aug_187.png,224,224,ba
ba\ba116.pred3.b_aug_188.png,224,224,ba
ba\ba116.pred3.b_aug_189.png,224,224,ba
ba\ba116.pred3.b_aug_19.png,224,224,ba
ba\ba116.pred3.b_aug_190.png,224,224,ba
ba\ba116.pred3.b_aug_191.png,224,224,ba
ba\ba116.pred3.b_aug_192.png,224,224,ba
ba\ba116.pred3.b_aug_193.png,224,224,ba
ba\ba116.pred3.b_aug_194.png,224,224,ba
ba\ba116.pred3.b_aug_195.png,224,224,ba
ba\ba116.pred3.b_aug_196.png,224,224,ba
ba\ba116.pred3.b_aug_197.png,224,224,ba
ba\ba116.pred3.b_aug_198.png,224,224,ba
ba\ba116.pred3.b_aug_199.png,224,224,ba
ba\ba116.pred3.b_aug_2.png,224,224,ba
ba\ba116.pred3.b_aug_20.png,224,224,ba
ba\ba116.pred3.b_aug_200.png,224,224,ba
ba\ba116.pred3.b_aug_201.png,224,224,ba
ba\ba116.pred3.b_aug_202.png,224,224,ba
ba\ba116.pred3.b_aug_203.png,224,224,ba
ba\ba116.pred3.b_aug_204.png,224,224,ba
ba\ba116.pred3.b_aug_205.png,224,224,ba
ba\ba116.pred3.b_aug_206.png,224,224,ba
ba\ba116.pred3.b_aug_207.png,224,224,ba
ba\ba116.pred3.b_aug_208.png,224,224,ba
ba\ba116.pred3.b_aug_209.png,224,224,ba
ba\ba116.pred3.b_aug_21.png,224,224,ba
ba\ba116.pred3.b_aug_210.png,224,224,ba
ba\ba116.pred3.b_aug_211.png,224,224,ba
ba\ba116.pred3.b_aug_212.png,224,224,ba
ba\ba116.pred3.b_aug_213.png,224,224,ba
ba\ba116.pred3.b_aug_214.png,224,224,ba
ba\ba116.pred3.b_aug_215.png,224,224,ba
ba\ba116.pred3.b_aug_216.png,224,224,ba
ba\ba116.pred3.b_aug_217.png,224,224,ba
ba\ba116.pred3.b_aug_218.png,224,224,ba
ba\ba116.pred3.b_aug_219.png,224,224,ba
ba\ba116.pred3.b_aug_22.png,224,224,ba
ba\ba116.pred3.b_aug_23.png,224,224,ba
ba\ba116.pred3.b_aug_24.png,224,224,ba
ba\ba116.pred3.b_aug_25.png,224,224,ba
ba\ba116.pred3.b_aug_26.png,224,224,ba
ba\ba116.pred3.b_aug_27.png,224,224,ba
ba\ba116.pred3.b_aug_28.png,224,224,ba
